Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	256.081171878
201408_BolsaFamiliaFolhaPagamento.csv	14131123	249.542791848
201409_BolsaFamiliaFolhaPagamento.csv	14143630	257.899139621
201410_BolsaFamiliaFolhaPagamento.csv	14076919	268.529913892
201411_BolsaFamiliaFolhaPagamento.csv	14109947	252.250611093
201412_BolsaFamiliaFolhaPagamento.csv	14054243	280.538412586
201501_BolsaFamiliaFolhaPagamento.csv	14026988	256.931014401
201502_BolsaFamiliaFolhaPagamento.csv	14042558	255.910475593
201503_BolsaFamiliaFolhaPagamento.csv	14004026	262.769473555
201504_BolsaFamiliaFolhaPagamento.csv	13787678	265.179409472
201505_BolsaFamiliaFolhaPagamento.csv	13779988	261.955206999
201506_BolsaFamiliaFolhaPagamento.csv	13753665	256.720614187

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	242.603203639
201408_BolsaFamiliaFolhaPagamento.csv	14131123	248.162973815
201409_BolsaFamiliaFolhaPagamento.csv	14143630	244.959427501
201410_BolsaFamiliaFolhaPagamento.csv	14076919	251.745872756
201411_BolsaFamiliaFolhaPagamento.csv	14109947	240.822727502
201412_BolsaFamiliaFolhaPagamento.csv	14054243	251.951433986
201501_BolsaFamiliaFolhaPagamento.csv	14026988	252.041083145
201502_BolsaFamiliaFolhaPagamento.csv	14042558	257.940574846
201503_BolsaFamiliaFolhaPagamento.csv	14004026	252.002963734
201504_BolsaFamiliaFolhaPagamento.csv	13787678	241.994013805
201505_BolsaFamiliaFolhaPagamento.csv	13779988	247.450113434
201506_BolsaFamiliaFolhaPagamento.csv	13753665	258.483991684

