Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	282.452564388
201408_BolsaFamiliaFolhaPagamento.csv	14131123	255.960598274
201409_BolsaFamiliaFolhaPagamento.csv	14143630	261.77966688
201410_BolsaFamiliaFolhaPagamento.csv	14076919	274.865221037
201411_BolsaFamiliaFolhaPagamento.csv	14109947	262.326680293
201412_BolsaFamiliaFolhaPagamento.csv	14054243	264.369149941

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	244.204101412
201408_BolsaFamiliaFolhaPagamento.csv	14131123	253.948831329
201409_BolsaFamiliaFolhaPagamento.csv	14143630	260.72241721
201410_BolsaFamiliaFolhaPagamento.csv	14076919	267.105386938
201411_BolsaFamiliaFolhaPagamento.csv	14109947	246.818463495
201412_BolsaFamiliaFolhaPagamento.csv	14054243	263.110681753

