Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	258.273050011
201408_BolsaFamiliaFolhaPagamento.csv	14131123	250.175328817
201409_BolsaFamiliaFolhaPagamento.csv	14143630	262.892228303
201410_BolsaFamiliaFolhaPagamento.csv	14076919	263.938778726
201411_BolsaFamiliaFolhaPagamento.csv	14109947	271.819163515
201412_BolsaFamiliaFolhaPagamento.csv	14054243	259.997715072
201501_BolsaFamiliaFolhaPagamento.csv	14026988	262.439721994
201502_BolsaFamiliaFolhaPagamento.csv	14042558	256.719195654
201503_BolsaFamiliaFolhaPagamento.csv	14004026	250.587678234
201504_BolsaFamiliaFolhaPagamento.csv	13787678	254.639458351
201505_BolsaFamiliaFolhaPagamento.csv	13779988	272.233127419
201506_BolsaFamiliaFolhaPagamento.csv	13753665	272.436911378
201507_BolsaFamiliaFolhaPagamento.csv	13861879	280.142674984
201508_BolsaFamiliaFolhaPagamento.csv	13823829	265.611875929
201509_BolsaFamiliaFolhaPagamento.csv	13912767	277.738981508
201510_BolsaFamiliaFolhaPagamento.csv	14002752	279.807124366
201511_BolsaFamiliaFolhaPagamento.csv	13815096	283.360922698
201512_BolsaFamiliaFolhaPagamento.csv	13980491	297.367557827
201601_BolsaFamiliaFolhaPagamento.csv	14020581	284.798912959
201602_BolsaFamiliaFolhaPagamento.csv	14008965	247.668437987
201603_BolsaFamiliaFolhaPagamento.csv	13868458	241.994203544
201604_BolsaFamiliaFolhaPagamento.csv	13932487	247.134171734
201605_BolsaFamiliaFolhaPagamento.csv	13872465	238.909016228
201606_BolsaFamiliaFolhaPagamento.csv	13849866	249.943232436

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	237.378206234
201408_BolsaFamiliaFolhaPagamento.csv	14131123	242.128059571
201409_BolsaFamiliaFolhaPagamento.csv	14143630	247.547727284
201410_BolsaFamiliaFolhaPagamento.csv	14076919	257.364428312
201411_BolsaFamiliaFolhaPagamento.csv	14109947	246.853702538
201412_BolsaFamiliaFolhaPagamento.csv	14054243	254.342718604
201501_BolsaFamiliaFolhaPagamento.csv	14026988	261.620301183
201502_BolsaFamiliaFolhaPagamento.csv	14042558	252.669785632
201503_BolsaFamiliaFolhaPagamento.csv	14004026	258.598380722
201504_BolsaFamiliaFolhaPagamento.csv	13787678	250.033946845
201505_BolsaFamiliaFolhaPagamento.csv	13779988	255.139866162
201506_BolsaFamiliaFolhaPagamento.csv	13753665	248.26797883
201507_BolsaFamiliaFolhaPagamento.csv	13861879	248.224425637
201508_BolsaFamiliaFolhaPagamento.csv	13823829	254.796131556
201509_BolsaFamiliaFolhaPagamento.csv	13912767	255.178031987
201510_BolsaFamiliaFolhaPagamento.csv	14002752	259.487662405
201511_BolsaFamiliaFolhaPagamento.csv	13815096	254.758640738
201512_BolsaFamiliaFolhaPagamento.csv	13980491	274.060985963
201601_BolsaFamiliaFolhaPagamento.csv	14020581	273.363519905
201602_BolsaFamiliaFolhaPagamento.csv	14008965	262.551379201
201603_BolsaFamiliaFolhaPagamento.csv	13868458	251.803616476
201604_BolsaFamiliaFolhaPagamento.csv	13932487	254.13252513
201605_BolsaFamiliaFolhaPagamento.csv	13872465	265.867890766
201606_BolsaFamiliaFolhaPagamento.csv	13849866	264.999236783

