Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	271.573291178
201408_BolsaFamiliaFolhaPagamento.csv	14131123	289.393372326
201409_BolsaFamiliaFolhaPagamento.csv	14143630	259.649016675
201410_BolsaFamiliaFolhaPagamento.csv	14076919	283.705906518
201411_BolsaFamiliaFolhaPagamento.csv	14109947	289.301048968
201412_BolsaFamiliaFolhaPagamento.csv	14054243	269.794198172
201501_BolsaFamiliaFolhaPagamento.csv	14026988	262.112292873
201502_BolsaFamiliaFolhaPagamento.csv	14042558	253.456842712
201503_BolsaFamiliaFolhaPagamento.csv	14004026	259.656363428
201504_BolsaFamiliaFolhaPagamento.csv	13787678	255.525908886
201505_BolsaFamiliaFolhaPagamento.csv	13779988	249.373501536
201506_BolsaFamiliaFolhaPagamento.csv	13753665	263.759686018

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	251.190784462
201408_BolsaFamiliaFolhaPagamento.csv	14131123	260.072208165
201409_BolsaFamiliaFolhaPagamento.csv	14143630	261.985321077
201410_BolsaFamiliaFolhaPagamento.csv	14076919	270.559169334
201411_BolsaFamiliaFolhaPagamento.csv	14109947	273.022472211
201412_BolsaFamiliaFolhaPagamento.csv	14054243	275.278330031
201501_BolsaFamiliaFolhaPagamento.csv	14026988	261.223898117
201502_BolsaFamiliaFolhaPagamento.csv	14042558	279.554229259
201503_BolsaFamiliaFolhaPagamento.csv	14004026	264.828209506
201504_BolsaFamiliaFolhaPagamento.csv	13787678	259.454822995
201505_BolsaFamiliaFolhaPagamento.csv	13779988	251.764732921
201506_BolsaFamiliaFolhaPagamento.csv	13753665	246.380497675

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	234.290028176
201408_BolsaFamiliaFolhaPagamento.csv	14131123	240.444878512
201409_BolsaFamiliaFolhaPagamento.csv	14143630	243.232079413
201410_BolsaFamiliaFolhaPagamento.csv	14076919	246.630560445
201411_BolsaFamiliaFolhaPagamento.csv	14109947	244.681444628
201412_BolsaFamiliaFolhaPagamento.csv	14054243	248.073682816
201501_BolsaFamiliaFolhaPagamento.csv	14026988	256.274609455
201502_BolsaFamiliaFolhaPagamento.csv	14042558	248.814457958
201503_BolsaFamiliaFolhaPagamento.csv	14004026	246.605690462
201504_BolsaFamiliaFolhaPagamento.csv	13787678	244.924244864
201505_BolsaFamiliaFolhaPagamento.csv	13779988	251.888155932
201506_BolsaFamiliaFolhaPagamento.csv	13753665	246.097519276

Arquivo	Registros	Tempo
