Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	290.58850569
201408_BolsaFamiliaFolhaPagamento.csv	14131123	283.155518383
201409_BolsaFamiliaFolhaPagamento.csv	14143630	276.825084124
201410_BolsaFamiliaFolhaPagamento.csv	14076919	305.058946566
201411_BolsaFamiliaFolhaPagamento.csv	14109947	253.248063286
201412_BolsaFamiliaFolhaPagamento.csv	14054243	259.304521636
201501_BolsaFamiliaFolhaPagamento.csv	14026988	251.9427991
201502_BolsaFamiliaFolhaPagamento.csv	14042558	264.317384042
201503_BolsaFamiliaFolhaPagamento.csv	14004026	258.080294101
201504_BolsaFamiliaFolhaPagamento.csv	13787678	257.659873718
201505_BolsaFamiliaFolhaPagamento.csv	13779988	265.293028627
201506_BolsaFamiliaFolhaPagamento.csv	13753665	264.090256996
201507_BolsaFamiliaFolhaPagamento.csv	13861879	265.983687675
201508_BolsaFamiliaFolhaPagamento.csv	13823829	268.004128697
201509_BolsaFamiliaFolhaPagamento.csv	13912767	272.557713162
201510_BolsaFamiliaFolhaPagamento.csv	14002752	289.754748225
201511_BolsaFamiliaFolhaPagamento.csv	13815096	272.017015727
201512_BolsaFamiliaFolhaPagamento.csv	13980491	279.813257549
201601_BolsaFamiliaFolhaPagamento.csv	14020581	278.142220881
201602_BolsaFamiliaFolhaPagamento.csv	14008965	291.950558024
201603_BolsaFamiliaFolhaPagamento.csv	13868458	271.91746837
201604_BolsaFamiliaFolhaPagamento.csv	13932487	282.019067518
201605_BolsaFamiliaFolhaPagamento.csv	13872465	286.654128149
201606_BolsaFamiliaFolhaPagamento.csv	13849866	267.895663868

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	238.776255845
201408_BolsaFamiliaFolhaPagamento.csv	14131123	241.745344477
201409_BolsaFamiliaFolhaPagamento.csv	14143630	245.884393231
201410_BolsaFamiliaFolhaPagamento.csv	14076919	257.047034986
201411_BolsaFamiliaFolhaPagamento.csv	14109947	241.548974265
201412_BolsaFamiliaFolhaPagamento.csv	14054243	253.141975407
201501_BolsaFamiliaFolhaPagamento.csv	14026988	251.767934405
201502_BolsaFamiliaFolhaPagamento.csv	14042558	251.374268231
201503_BolsaFamiliaFolhaPagamento.csv	14004026	246.852631629
201504_BolsaFamiliaFolhaPagamento.csv	13787678	242.232194073
201505_BolsaFamiliaFolhaPagamento.csv	13779988	248.965228278
201506_BolsaFamiliaFolhaPagamento.csv	13753665	250.932996169
201507_BolsaFamiliaFolhaPagamento.csv	13861879	260.535377305
201508_BolsaFamiliaFolhaPagamento.csv	13823829	259.449065771
201509_BolsaFamiliaFolhaPagamento.csv	13912767	272.374197687
201510_BolsaFamiliaFolhaPagamento.csv	14002752	261.952633854
201511_BolsaFamiliaFolhaPagamento.csv	13815096	270.584901711
201512_BolsaFamiliaFolhaPagamento.csv	13980491	266.551740606
201601_BolsaFamiliaFolhaPagamento.csv	14020581	275.407444277
201602_BolsaFamiliaFolhaPagamento.csv	14008965	252.154175357
201603_BolsaFamiliaFolhaPagamento.csv	13868458	244.931095073
201604_BolsaFamiliaFolhaPagamento.csv	13932487	255.545200234
201605_BolsaFamiliaFolhaPagamento.csv	13872465	264.767195118
201606_BolsaFamiliaFolhaPagamento.csv	13849866	269.805111044

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	246.833146204
201408_BolsaFamiliaFolhaPagamento.csv	14131123	253.073485919
201409_BolsaFamiliaFolhaPagamento.csv	14143630	261.555291743
201410_BolsaFamiliaFolhaPagamento.csv	14076919	268.767993916
201411_BolsaFamiliaFolhaPagamento.csv	14109947	260.768812633
201412_BolsaFamiliaFolhaPagamento.csv	14054243	264.669652522
201501_BolsaFamiliaFolhaPagamento.csv	14026988	262.400375629
201502_BolsaFamiliaFolhaPagamento.csv	14042558	247.301509711
201503_BolsaFamiliaFolhaPagamento.csv	14004026	257.103792154
201504_BolsaFamiliaFolhaPagamento.csv	13787678	245.63064592
201505_BolsaFamiliaFolhaPagamento.csv	13779988	252.405291668
201506_BolsaFamiliaFolhaPagamento.csv	13753665	247.889201513
201507_BolsaFamiliaFolhaPagamento.csv	13861879	248.064539423
201508_BolsaFamiliaFolhaPagamento.csv	13823829	254.228034369
201509_BolsaFamiliaFolhaPagamento.csv	13912767	254.113278444
201510_BolsaFamiliaFolhaPagamento.csv	14002752	261.215618717
201511_BolsaFamiliaFolhaPagamento.csv	13815096	255.57341336
201512_BolsaFamiliaFolhaPagamento.csv	13980491	256.640713418
201601_BolsaFamiliaFolhaPagamento.csv	14020581	278.637195417
201602_BolsaFamiliaFolhaPagamento.csv	14008965	263.804901009
201603_BolsaFamiliaFolhaPagamento.csv	13868458	258.152397449
201604_BolsaFamiliaFolhaPagamento.csv	13932487	255.107410623
201605_BolsaFamiliaFolhaPagamento.csv	13872465	264.354120542
201606_BolsaFamiliaFolhaPagamento.csv	13849866	272.265950834

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	251.186971555
201408_BolsaFamiliaFolhaPagamento.csv	14131123	253.539614505
201409_BolsaFamiliaFolhaPagamento.csv	14143630	261.54518935
201410_BolsaFamiliaFolhaPagamento.csv	14076919	268.706268102
201411_BolsaFamiliaFolhaPagamento.csv	14109947	261.006349506
201412_BolsaFamiliaFolhaPagamento.csv	14054243	272.194644845
201501_BolsaFamiliaFolhaPagamento.csv	14026988	257.22572289
201502_BolsaFamiliaFolhaPagamento.csv	14042558	270.830157205
201503_BolsaFamiliaFolhaPagamento.csv	14004026	276.124873907
201504_BolsaFamiliaFolhaPagamento.csv	13787678	258.443280678
201505_BolsaFamiliaFolhaPagamento.csv	13779988	274.857225744
201506_BolsaFamiliaFolhaPagamento.csv	13753665	271.183019272
201507_BolsaFamiliaFolhaPagamento.csv	13861879	275.000042902
201508_BolsaFamiliaFolhaPagamento.csv	13823829	287.498813147
201509_BolsaFamiliaFolhaPagamento.csv	13912767	287.369112384
201510_BolsaFamiliaFolhaPagamento.csv	14002752	306.489044925
201511_BolsaFamiliaFolhaPagamento.csv	13815096	274.744557437
201512_BolsaFamiliaFolhaPagamento.csv	13980491	257.120770391
201601_BolsaFamiliaFolhaPagamento.csv	14020581	262.972101287
201602_BolsaFamiliaFolhaPagamento.csv	14008965	258.06570912
201603_BolsaFamiliaFolhaPagamento.csv	13868458	255.833292962
201604_BolsaFamiliaFolhaPagamento.csv	13932487	249.125786838
201605_BolsaFamiliaFolhaPagamento.csv	13872465	251.83646417
201606_BolsaFamiliaFolhaPagamento.csv	13849866	246.8080395

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	247.963344814
201408_BolsaFamiliaFolhaPagamento.csv	14131123	244.687185757
201409_BolsaFamiliaFolhaPagamento.csv	14143630	255.195831156
201410_BolsaFamiliaFolhaPagamento.csv	14076919	252.374893701
201411_BolsaFamiliaFolhaPagamento.csv	14109947	247.735942025
201412_BolsaFamiliaFolhaPagamento.csv	14054243	254.280734005
201501_BolsaFamiliaFolhaPagamento.csv	14026988	260.547243895
201502_BolsaFamiliaFolhaPagamento.csv	14042558	262.197004189
201503_BolsaFamiliaFolhaPagamento.csv	14004026	264.758853177
201504_BolsaFamiliaFolhaPagamento.csv	13787678	261.718235559
201505_BolsaFamiliaFolhaPagamento.csv	13779988	259.285989468
201506_BolsaFamiliaFolhaPagamento.csv	13753665	263.011099359
201507_BolsaFamiliaFolhaPagamento.csv	13861879	263.539778655
201508_BolsaFamiliaFolhaPagamento.csv	13823829	269.281562745
201509_BolsaFamiliaFolhaPagamento.csv	13912767	280.156513547
201510_BolsaFamiliaFolhaPagamento.csv	14002752	275.028138429
201511_BolsaFamiliaFolhaPagamento.csv	13815096	274.069019492
201512_BolsaFamiliaFolhaPagamento.csv	13980491	277.504012245
201601_BolsaFamiliaFolhaPagamento.csv	14020581	285.462256781
201602_BolsaFamiliaFolhaPagamento.csv	14008965	262.412582605
201603_BolsaFamiliaFolhaPagamento.csv	13868458	274.726409646
201604_BolsaFamiliaFolhaPagamento.csv	13932487	263.025590671
201605_BolsaFamiliaFolhaPagamento.csv	13872465	272.936684756
201606_BolsaFamiliaFolhaPagamento.csv	13849866	274.033690202

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	251.050329955
201408_BolsaFamiliaFolhaPagamento.csv	14131123	242.187790539
201409_BolsaFamiliaFolhaPagamento.csv	14143630	247.545381805
201410_BolsaFamiliaFolhaPagamento.csv	14076919	267.351891378
201411_BolsaFamiliaFolhaPagamento.csv	14109947	242.159083556
201412_BolsaFamiliaFolhaPagamento.csv	14054243	251.038977951
201501_BolsaFamiliaFolhaPagamento.csv	14026988	257.622451379
201502_BolsaFamiliaFolhaPagamento.csv	14042558	255.58707542
201503_BolsaFamiliaFolhaPagamento.csv	14004026	254.542461569
201504_BolsaFamiliaFolhaPagamento.csv	13787678	240.027416421
201505_BolsaFamiliaFolhaPagamento.csv	13779988	248.004987236
201506_BolsaFamiliaFolhaPagamento.csv	13753665	250.550707851
201507_BolsaFamiliaFolhaPagamento.csv	13861879	252.29341373
201508_BolsaFamiliaFolhaPagamento.csv	13823829	252.028739198
201509_BolsaFamiliaFolhaPagamento.csv	13912767	258.846669613
201510_BolsaFamiliaFolhaPagamento.csv	14002752	270.940945039
201511_BolsaFamiliaFolhaPagamento.csv	13815096	262.832369919
201512_BolsaFamiliaFolhaPagamento.csv	13980491	278.176340615
