Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	270.364769938
201408_BolsaFamiliaFolhaPagamento.csv	14131123	258.539333108
201409_BolsaFamiliaFolhaPagamento.csv	14143630	260.312672215
201410_BolsaFamiliaFolhaPagamento.csv	14076919	260.558910278
201411_BolsaFamiliaFolhaPagamento.csv	14109947	256.001408818
201412_BolsaFamiliaFolhaPagamento.csv	14054243	253.183922829
201501_BolsaFamiliaFolhaPagamento.csv	14026988	257.611550811
201502_BolsaFamiliaFolhaPagamento.csv	14042558	260.641998358
201503_BolsaFamiliaFolhaPagamento.csv	14004026	252.916465405
201504_BolsaFamiliaFolhaPagamento.csv	13787678	249.61383427
201505_BolsaFamiliaFolhaPagamento.csv	13779988	251.620112911
201506_BolsaFamiliaFolhaPagamento.csv	13753665	254.252701144
201507_BolsaFamiliaFolhaPagamento.csv	13861879	253.354084902
201508_BolsaFamiliaFolhaPagamento.csv	13823829	251.909383461
201509_BolsaFamiliaFolhaPagamento.csv	13912767	257.628445851
201510_BolsaFamiliaFolhaPagamento.csv	14002752	268.605684319
201511_BolsaFamiliaFolhaPagamento.csv	13815096	252.864627824
201512_BolsaFamiliaFolhaPagamento.csv	13980491	254.059600654
201601_BolsaFamiliaFolhaPagamento.csv	14020581	259.485134492
201602_BolsaFamiliaFolhaPagamento.csv	14008965	260.603455825
201603_BolsaFamiliaFolhaPagamento.csv	13868458	251.889931237
201604_BolsaFamiliaFolhaPagamento.csv	13932487	256.380595078
201605_BolsaFamiliaFolhaPagamento.csv	13872465	256.189963136
201606_BolsaFamiliaFolhaPagamento.csv	13849866	251.984969799

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	262.379166864
201408_BolsaFamiliaFolhaPagamento.csv	14131123	256.910409067
201409_BolsaFamiliaFolhaPagamento.csv	14143630	257.767432685
201410_BolsaFamiliaFolhaPagamento.csv	14076919	259.082621211
201411_BolsaFamiliaFolhaPagamento.csv	14109947	257.450833126
201412_BolsaFamiliaFolhaPagamento.csv	14054243	255.036315548
