Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	266.955819824
201408_BolsaFamiliaFolhaPagamento.csv	14131123	267.155655056
201409_BolsaFamiliaFolhaPagamento.csv	14143630	263.605401189
201410_BolsaFamiliaFolhaPagamento.csv	14076919	267.706464557
201411_BolsaFamiliaFolhaPagamento.csv	14109947	272.923727161
201412_BolsaFamiliaFolhaPagamento.csv	14054243	264.695648593
201501_BolsaFamiliaFolhaPagamento.csv	14026988	284.298839419
201502_BolsaFamiliaFolhaPagamento.csv	14042558	270.779352451
201503_BolsaFamiliaFolhaPagamento.csv	14004026	262.573662331
201504_BolsaFamiliaFolhaPagamento.csv	13787678	263.629645355
201505_BolsaFamiliaFolhaPagamento.csv	13779988	265.135425378
201506_BolsaFamiliaFolhaPagamento.csv	13753665	264.092275084

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	272.158153515
201408_BolsaFamiliaFolhaPagamento.csv	14131123	275.860123792
201409_BolsaFamiliaFolhaPagamento.csv	14143630	270.410437667
201410_BolsaFamiliaFolhaPagamento.csv	14076919	270.775300748
201411_BolsaFamiliaFolhaPagamento.csv	14109947	270.377825925
201412_BolsaFamiliaFolhaPagamento.csv	14054243	274.904944643
201501_BolsaFamiliaFolhaPagamento.csv	14026988	288.595944822
201502_BolsaFamiliaFolhaPagamento.csv	14042558	275.659313602
201503_BolsaFamiliaFolhaPagamento.csv	14004026	267.344105307
201504_BolsaFamiliaFolhaPagamento.csv	13787678	268.308980151
201505_BolsaFamiliaFolhaPagamento.csv	13779988	271.938004298
201506_BolsaFamiliaFolhaPagamento.csv	13753665	263.140700384

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	274.919263735
201408_BolsaFamiliaFolhaPagamento.csv	14131123	276.995868761
201409_BolsaFamiliaFolhaPagamento.csv	14143630	270.155227098
201410_BolsaFamiliaFolhaPagamento.csv	14076919	272.705770665
201411_BolsaFamiliaFolhaPagamento.csv	14109947	274.752162248
201412_BolsaFamiliaFolhaPagamento.csv	14054243	272.649905581
201501_BolsaFamiliaFolhaPagamento.csv	14026988	299.542455559
201502_BolsaFamiliaFolhaPagamento.csv	14042558	280.208136313
201503_BolsaFamiliaFolhaPagamento.csv	14004026	268.974481139
201504_BolsaFamiliaFolhaPagamento.csv	13787678	271.804938198
201505_BolsaFamiliaFolhaPagamento.csv	13779988	264.918768995
201506_BolsaFamiliaFolhaPagamento.csv	13753665	267.296218347

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	272.922343037
201408_BolsaFamiliaFolhaPagamento.csv	14131123	270.626782225
201409_BolsaFamiliaFolhaPagamento.csv	14143630	267.901213779
201410_BolsaFamiliaFolhaPagamento.csv	14076919	273.40435539
201411_BolsaFamiliaFolhaPagamento.csv	14109947	274.085316162
201412_BolsaFamiliaFolhaPagamento.csv	14054243	268.230716635
201501_BolsaFamiliaFolhaPagamento.csv	14026988	292.270426174
201502_BolsaFamiliaFolhaPagamento.csv	14042558	279.543586443
