Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	288.962722806
201408_BolsaFamiliaFolhaPagamento.csv	14131123	277.273809584
201409_BolsaFamiliaFolhaPagamento.csv	14143630	269.072991267
201410_BolsaFamiliaFolhaPagamento.csv	14076919	273.097558031
201411_BolsaFamiliaFolhaPagamento.csv	14109947	274.467665709
201412_BolsaFamiliaFolhaPagamento.csv	14054243	272.339371652
201501_BolsaFamiliaFolhaPagamento.csv	14026988	294.218376691
201502_BolsaFamiliaFolhaPagamento.csv	14042558	278.950409371
201503_BolsaFamiliaFolhaPagamento.csv	14004026	268.50002234
201504_BolsaFamiliaFolhaPagamento.csv	13787678	270.565675626
201505_BolsaFamiliaFolhaPagamento.csv	13779988	272.670722242
201506_BolsaFamiliaFolhaPagamento.csv	13753665	264.982684005
201507_BolsaFamiliaFolhaPagamento.csv	13861879	278.238151763
201508_BolsaFamiliaFolhaPagamento.csv	13823829	275.793000323
201509_BolsaFamiliaFolhaPagamento.csv	13912767	268.749253803
201510_BolsaFamiliaFolhaPagamento.csv	14002752	274.723873099
201511_BolsaFamiliaFolhaPagamento.csv	13815096	266.484919176
201512_BolsaFamiliaFolhaPagamento.csv	13980491	276.986068626
201601_BolsaFamiliaFolhaPagamento.csv	14020581	274.471886689
201602_BolsaFamiliaFolhaPagamento.csv	14008965	288.010432976
201603_BolsaFamiliaFolhaPagamento.csv	13868458	272.07742695
201604_BolsaFamiliaFolhaPagamento.csv	13932487	280.0128265
201605_BolsaFamiliaFolhaPagamento.csv	13872465	275.841485859
201606_BolsaFamiliaFolhaPagamento.csv	13849866	286.058507593

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	267.872158351
201408_BolsaFamiliaFolhaPagamento.csv	14131123	272.979843249
201409_BolsaFamiliaFolhaPagamento.csv	14143630	269.634972134
201410_BolsaFamiliaFolhaPagamento.csv	14076919	273.001323862
201411_BolsaFamiliaFolhaPagamento.csv	14109947	268.875443807
201412_BolsaFamiliaFolhaPagamento.csv	14054243	273.056197662
201501_BolsaFamiliaFolhaPagamento.csv	14026988	282.375278589
201502_BolsaFamiliaFolhaPagamento.csv	14042558	280.553837058
201503_BolsaFamiliaFolhaPagamento.csv	14004026	262.566386959
201504_BolsaFamiliaFolhaPagamento.csv	13787678	268.70548004
201505_BolsaFamiliaFolhaPagamento.csv	13779988	260.83323378
201506_BolsaFamiliaFolhaPagamento.csv	13753665	262.170531649
201507_BolsaFamiliaFolhaPagamento.csv	13861879	273.498062626
201508_BolsaFamiliaFolhaPagamento.csv	13823829	274.462891523
201509_BolsaFamiliaFolhaPagamento.csv	13912767	269.03595409
201510_BolsaFamiliaFolhaPagamento.csv	14002752	272.008911676
201511_BolsaFamiliaFolhaPagamento.csv	13815096	266.651974113
201512_BolsaFamiliaFolhaPagamento.csv	13980491	274.466028426
201601_BolsaFamiliaFolhaPagamento.csv	14020581	273.996817988
201602_BolsaFamiliaFolhaPagamento.csv	14008965	290.639566111
201603_BolsaFamiliaFolhaPagamento.csv	13868458	264.119112968
201604_BolsaFamiliaFolhaPagamento.csv	13932487	275.746585869
201605_BolsaFamiliaFolhaPagamento.csv	13872465	272.55107144
201606_BolsaFamiliaFolhaPagamento.csv	13849866	278.215927076

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	277.240098609
201408_BolsaFamiliaFolhaPagamento.csv	14131123	278.647885288
201409_BolsaFamiliaFolhaPagamento.csv	14143630	272.967940286
201410_BolsaFamiliaFolhaPagamento.csv	14076919	275.413015949
201411_BolsaFamiliaFolhaPagamento.csv	14109947	276.764645929
201412_BolsaFamiliaFolhaPagamento.csv	14054243	271.206453542
201501_BolsaFamiliaFolhaPagamento.csv	14026988	299.035411087
201502_BolsaFamiliaFolhaPagamento.csv	14042558	281.011187937
201503_BolsaFamiliaFolhaPagamento.csv	14004026	264.685378902
201504_BolsaFamiliaFolhaPagamento.csv	13787678	262.012767358
201505_BolsaFamiliaFolhaPagamento.csv	13779988	261.263143315
201506_BolsaFamiliaFolhaPagamento.csv	13753665	262.838090527
201507_BolsaFamiliaFolhaPagamento.csv	13861879	269.463817633
201508_BolsaFamiliaFolhaPagamento.csv	13823829	269.862846135
201509_BolsaFamiliaFolhaPagamento.csv	13912767	266.128978096
201510_BolsaFamiliaFolhaPagamento.csv	14002752	264.111363376
201511_BolsaFamiliaFolhaPagamento.csv	13815096	262.516528589
201512_BolsaFamiliaFolhaPagamento.csv	13980491	259.251975988
201601_BolsaFamiliaFolhaPagamento.csv	14020581	268.955153555
201602_BolsaFamiliaFolhaPagamento.csv	14008965	276.636840055
201603_BolsaFamiliaFolhaPagamento.csv	13868458	267.111666547
201604_BolsaFamiliaFolhaPagamento.csv	13932487	270.189533753
201605_BolsaFamiliaFolhaPagamento.csv	13872465	267.177254262
201606_BolsaFamiliaFolhaPagamento.csv	13849866	267.536307406

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	274.285796792
201408_BolsaFamiliaFolhaPagamento.csv	14131123	267.888817455
201409_BolsaFamiliaFolhaPagamento.csv	14143630	265.160205977
201410_BolsaFamiliaFolhaPagamento.csv	14076919	268.641750213
201411_BolsaFamiliaFolhaPagamento.csv	14109947	267.36612483
201412_BolsaFamiliaFolhaPagamento.csv	14054243	270.925909491
201501_BolsaFamiliaFolhaPagamento.csv	14026988	279.106137923
201502_BolsaFamiliaFolhaPagamento.csv	14042558	273.2310692
201503_BolsaFamiliaFolhaPagamento.csv	14004026	266.014585718
201504_BolsaFamiliaFolhaPagamento.csv	13787678	265.14420598
201505_BolsaFamiliaFolhaPagamento.csv	13779988	266.45115013
201506_BolsaFamiliaFolhaPagamento.csv	13753665	265.655692778
201507_BolsaFamiliaFolhaPagamento.csv	13861879	274.062603042
201508_BolsaFamiliaFolhaPagamento.csv	13823829	272.719298241
201509_BolsaFamiliaFolhaPagamento.csv	13912767	265.434502735
201510_BolsaFamiliaFolhaPagamento.csv	14002752	272.900223602
201511_BolsaFamiliaFolhaPagamento.csv	13815096	260.395974062
201512_BolsaFamiliaFolhaPagamento.csv	13980491	269.793333153
201601_BolsaFamiliaFolhaPagamento.csv	14020581	270.291415256
201602_BolsaFamiliaFolhaPagamento.csv	14008965	280.967721573
201603_BolsaFamiliaFolhaPagamento.csv	13868458	265.660112863
201604_BolsaFamiliaFolhaPagamento.csv	13932487	271.141563393
201605_BolsaFamiliaFolhaPagamento.csv	13872465	268.073728962
201606_BolsaFamiliaFolhaPagamento.csv	13849866	272.305671885

Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	273.144973219
201408_BolsaFamiliaFolhaPagamento.csv	14131123	274.269168496
201409_BolsaFamiliaFolhaPagamento.csv	14143630	270.775296342
201410_BolsaFamiliaFolhaPagamento.csv	14076919	272.122718191
201411_BolsaFamiliaFolhaPagamento.csv	14109947	274.782639225
201412_BolsaFamiliaFolhaPagamento.csv	14054243	270.71134188
201501_BolsaFamiliaFolhaPagamento.csv	14026988	291.411463519
201502_BolsaFamiliaFolhaPagamento.csv	14042558	273.415793367
201503_BolsaFamiliaFolhaPagamento.csv	14004026	267.430006191
201504_BolsaFamiliaFolhaPagamento.csv	13787678	262.675076856
201505_BolsaFamiliaFolhaPagamento.csv	13779988	269.913196895
201506_BolsaFamiliaFolhaPagamento.csv	13753665	267.867685599
201507_BolsaFamiliaFolhaPagamento.csv	13861879	278.024076922
201508_BolsaFamiliaFolhaPagamento.csv	13823829	270.531110526
201509_BolsaFamiliaFolhaPagamento.csv	13912767	270.175790321
201510_BolsaFamiliaFolhaPagamento.csv	14002752	273.348662117
201511_BolsaFamiliaFolhaPagamento.csv	13815096	269.221856658
201512_BolsaFamiliaFolhaPagamento.csv	13980491	273.766767638
201601_BolsaFamiliaFolhaPagamento.csv	14020581	274.342652677
201602_BolsaFamiliaFolhaPagamento.csv	14008965	285.284268632
201603_BolsaFamiliaFolhaPagamento.csv	13868458	270.870581663
201604_BolsaFamiliaFolhaPagamento.csv	13932487	267.641915122
