Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	280.767728752
201408_BolsaFamiliaFolhaPagamento.csv	14131123	283.934241142
201409_BolsaFamiliaFolhaPagamento.csv	14143630	276.014392554
201410_BolsaFamiliaFolhaPagamento.csv	14076919	283.176528158
201411_BolsaFamiliaFolhaPagamento.csv	14109947	299.711308578
201412_BolsaFamiliaFolhaPagamento.csv	14054243	288.724872286
201501_BolsaFamiliaFolhaPagamento.csv	14026988	285.260612276
201502_BolsaFamiliaFolhaPagamento.csv	14042558	275.675297676
201503_BolsaFamiliaFolhaPagamento.csv	14004026	284.841867418
201504_BolsaFamiliaFolhaPagamento.csv	13787678	290.314473711
201505_BolsaFamiliaFolhaPagamento.csv	13779988	272.363841322
201506_BolsaFamiliaFolhaPagamento.csv	13753665	276.560596864

