Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	273.546562798
201408_BolsaFamiliaFolhaPagamento.csv	14131123	269.704645968
201409_BolsaFamiliaFolhaPagamento.csv	14143630	270.164174205
201410_BolsaFamiliaFolhaPagamento.csv	14076919	268.053026635
201411_BolsaFamiliaFolhaPagamento.csv	14109947	270.367759737
201412_BolsaFamiliaFolhaPagamento.csv	14054243	270.530417699
201501_BolsaFamiliaFolhaPagamento.csv	14026988	271.343313009
201502_BolsaFamiliaFolhaPagamento.csv	14042558	269.637883467
201503_BolsaFamiliaFolhaPagamento.csv	14004026	273.687115665
201504_BolsaFamiliaFolhaPagamento.csv	13787678	271.78696825
201505_BolsaFamiliaFolhaPagamento.csv	13779988	262.915171491
201506_BolsaFamiliaFolhaPagamento.csv	13753665	264.335701328

