Arquivo	Registros	Tempo
201407_BolsaFamiliaFolhaPagamento.csv	14389582	293.154891266
201408_BolsaFamiliaFolhaPagamento.csv	14131123	274.523567559
201409_BolsaFamiliaFolhaPagamento.csv	14143630	274.725429446
201410_BolsaFamiliaFolhaPagamento.csv	14076919	270.23580994
201411_BolsaFamiliaFolhaPagamento.csv	14109947	271.910871554
201412_BolsaFamiliaFolhaPagamento.csv	14054243	268.734017113
201501_BolsaFamiliaFolhaPagamento.csv	14026988	274.549433387
201502_BolsaFamiliaFolhaPagamento.csv	14042558	269.35947884
201503_BolsaFamiliaFolhaPagamento.csv	14004026	267.822772379
201504_BolsaFamiliaFolhaPagamento.csv	13787678	268.001598074
201505_BolsaFamiliaFolhaPagamento.csv	13779988	266.143840409
201506_BolsaFamiliaFolhaPagamento.csv	13753665	263.41846365
201507_BolsaFamiliaFolhaPagamento.csv	13861879	265.611563958
201508_BolsaFamiliaFolhaPagamento.csv	13823829	265.222792672
201509_BolsaFamiliaFolhaPagamento.csv	13912767	265.944196647
201510_BolsaFamiliaFolhaPagamento.csv	14002752	265.626463547
201511_BolsaFamiliaFolhaPagamento.csv	13815096	262.029305616
201512_BolsaFamiliaFolhaPagamento.csv	13980491	273.125174946
201601_BolsaFamiliaFolhaPagamento.csv	14020581	272.409692176
201602_BolsaFamiliaFolhaPagamento.csv	14008965	269.744175809
201603_BolsaFamiliaFolhaPagamento.csv	13868458	268.713183369
201604_BolsaFamiliaFolhaPagamento.csv	13932487	267.731091386
201605_BolsaFamiliaFolhaPagamento.csv	13872465	269.889440078
201606_BolsaFamiliaFolhaPagamento.csv	13849866	264.494936382

